,unique_id,ds,y
0,store_1,2019-05-05 14:54:17.349333,1250.0
1,store_1,2019-05-12 14:54:17.349333,1250.00041666667
2,store_1,2019-05-19 14:54:17.349333,1250.06997804507
3,store_1,2019-05-26 14:54:17.349333,1250.02991280279
4,store_1,2019-06-02 14:54:17.349333,1250.14940027601
5,store_1,2019-06-09 14:54:17.349333,1250.19648033048
6,store_1,2019-06-16 14:54:17.349333,1250.30091702846
7,store_1,2019-06-23 14:54:17.349333,1250.40550119065
8,store_1,2019-06-30 14:54:17.349333,1250.49373326991
9,store_1,2019-07-07 14:54:17.349333,1250.44407862312
10,store_1,2019-07-14 14:54:17.349333,1250.70123105731
11,store_1,2019-07-21 14:54:17.349333,1250.47154557498
12,store_1,2019-07-28 14:54:17.349333,1250.44749980627
13,store_1,2019-08-04 14:54:17.349333,1250.25034733509
14,store_1,2019-08-11 14:54:17.349333,1250.4409234259
15,store_1,2019-08-18 14:54:17.349333,1250.45004316794
16,store_1,2019-08-25 14:54:17.349333,1250.53985693157
17,store_1,2019-09-01 14:54:17.349333,1250.85099431229
18,store_1,2019-09-08 14:54:17.349333,1250.93295418335
19,store_1,2019-09-15 14:54:17.349333,1251.18204285287
20,store_1,2019-09-22 14:54:17.349333,1250.89408661213
21,store_1,2019-09-29 14:54:17.349333,1250.95785711053
22,store_1,2019-10-06 14:54:17.349333,1250.67336791307
23,store_1,2019-10-13 14:54:17.349333,1250.7127519372
24,store_1,2019-10-20 14:54:17.349333,1250.93207185153
25,store_1,2019-10-27 14:54:17.349333,1250.81295931623
26,store_1,2019-11-03 14:54:17.349333,1250.50352630539
27,store_1,2019-11-10 14:54:17.349333,1250.32876462574
28,store_1,2019-11-17 14:54:17.349333,1250.48615520605
29,store_1,2019-11-24 14:54:17.349333,1250.55303703484
30,store_1,2019-12-01 14:54:17.349333,1250.9570259765
31,store_1,2019-12-08 14:54:17.349333,1250.96384852895
32,store_1,2019-12-15 14:54:17.349333,1251.21996803343
33,store_1,2019-12-22 14:54:17.349333,1251.36846254371
34,store_1,2019-12-29 14:54:17.349333,1251.44837425456
35,store_1,2020-01-05 14:54:17.349333,1251.45047124574
36,store_1,2020-01-12 14:54:17.349333,1251.64903403398
37,store_1,2020-01-19 14:54:17.349333,1251.24344691923
38,store_1,2020-01-26 14:54:17.349333,1251.06591718254
39,store_1,2020-02-02 14:54:17.349333,1251.13898493534
40,store_1,2020-02-09 14:54:17.349333,1250.69860848597
41,store_1,2020-02-16 14:54:17.349333,1250.74202250814
42,store_1,2020-02-23 14:54:17.349333,1251.01675760964
43,store_1,2020-03-01 14:54:17.349333,1250.89833676405
44,store_1,2020-03-08 14:54:17.349333,1251.3722705459
45,store_1,2020-03-15 14:54:17.349333,1251.0804761839
46,store_1,2020-03-22 14:54:17.349333,1251.18472258284
47,store_1,2020-03-29 14:54:17.349333,1251.54660528035
48,store_1,2020-04-05 14:54:17.349333,1251.68181055945
49,store_1,2020-04-12 14:54:17.349333,1251.455663634
50,store_1,2020-04-19 14:54:17.349333,1251.3091577956
51,store_1,2020-04-26 14:54:17.349333,1251.04319618717
52,store_1,2020-05-03 14:54:17.349333,1251.40137616815
53,store_1,2020-05-10 14:54:17.349333,1250.48733209256
54,store_1,2020-05-17 14:54:17.349333,1250.71105269789
55,store_1,2020-05-24 14:54:17.349333,1250.5261760201
56,store_1,2020-05-31 14:54:17.349333,1250.15240682301
57,store_1,2020-06-07 14:54:17.349333,1250.26726817296
58,store_1,2020-06-14 14:54:17.349333,1250.3499428422
59,store_1,2020-06-21 14:54:17.349333,1250.02301171312
60,store_1,2020-06-28 14:54:17.349333,1249.85962433407
61,store_1,2020-07-05 14:54:17.349333,1250.45344060706
62,store_1,2020-07-12 14:54:17.349333,1250.62901938783
63,store_1,2020-07-19 14:54:17.349333,1251.02903394701
64,store_1,2020-07-26 14:54:17.349333,1250.68162675458
